nthreads, ntasks, speedup
1, 1, 1.1040522059991926
1, 2, 1.047171639693669
1, 3, 1.1774833825968019
1, 4, 0.9588257657581686
1, 5, 1.0445663761042476
1, 6, 1.138992159658691
1, 7, 1.030817992959281
1, 8, 0.9202035939556626
1, 9, 0.9111082638835433
1, 10, 1.064128237389476
1, 11, 1.0017162594852185
1, 12, 0.9609200036418861
1, 13, 1.0239309660489173
1, 14, 0.961420533722069
1, 15, 1.0586122351089473
1, 16, 0.9492207449058211
1, 17, 0.998924212844711
1, 18, 1.0476260064549188
1, 19, 1.0617333090063907
1, 20, 0.9842439358381019
1, 25, 0.9025931008812756
1, 30, 1.05113830931657
1, 35, 1.034711118973642
1, 40, 0.8865538764295328
1, 45, 0.9965170154486643
1, 50, 0.9845575642516797
1, 55, 1.0358437109342569
1, 60, 1.0960762053542528
1, 65, 0.978258899966782
1, 70, 1.1034639068201602
1, 75, 1.057382288267698
1, 80, 1.002264057001544
1, 85, 1.0493104466392331
1, 90, 0.9959685068129831
1, 95, 0.9823406899899164
1, 100, 0.980765856048294
2, 1, 1.0003979049858869
2, 2, 1.9960353411666203
2, 3, 1.673227734142846
2, 4, 1.855633565245622
2, 5, 1.7450455256131512
2, 6, 2.023652058461675
2, 7, 2.017411633031316
2, 8, 2.2676865016909487
2, 9, 1.9401535553066973
2, 10, 1.931296354353566
2, 11, 1.8699311829785423
2, 12, 2.041604445816715
2, 13, 2.042578079369727
2, 14, 2.382797837106908
2, 15, 2.010888146447408
2, 16, 1.7011075057106066
2, 17, 2.1118494751378067
2, 18, 2.0067982313081774
2, 19, 1.8801713943608962
2, 20, 2.215286301057609
2, 25, 1.916381590876951
2, 30, 2.2262556752777
2, 35, 2.1354262451310184
2, 40, 2.295849206846408
2, 45, 2.3509591213907943
2, 50, 2.2174168404031107
2, 55, 2.3021769815925577
2, 60, 2.1838312239606847
2, 65, 2.3211092595407417
2, 70, 2.1191410669031443
2, 75, 2.2822760763936785
2, 80, 2.4692819782421056
2, 85, 2.1051036070161357
2, 90, 2.002682310209499
2, 95, 2.095954930367328
2, 100, 2.2787486538373933
3, 1, 0.9692401070722245
3, 2, 1.8302987892169826
3, 3, 2.7307138701271714
3, 4, 2.257889806957004
3, 5, 2.458924536457252
3, 6, 2.48580166251317
3, 7, 2.6734062292768104
3, 8, 2.6908696062278317
3, 9, 2.553106569504667
3, 10, 2.690189361329723
3, 11, 2.8444964726462367
3, 12, 2.8906512837386766
3, 13, 2.409650353476119
3, 14, 2.8085208897845826
3, 15, 2.2623731585252203
3, 16, 2.9999466658597402
3, 17, 2.8200138375569144
3, 18, 2.917676470821815
3, 19, 3.1009989863374923
3, 20, 2.743733232284366
3, 25, 3.132321198098645
3, 30, 3.2366621389153942
3, 35, 2.817881677336661
3, 40, 3.1603959018227408
3, 45, 3.4675778441108918
3, 50, 3.4701206148278634
3, 55, 2.760897238254788
3, 60, 3.16259939754039
3, 65, 3.394352359174362
3, 70, 3.3504376512922276
3, 75, 3.339354757908362
3, 80, 3.3340636278817044
3, 85, 2.9049397575932727
3, 90, 3.5276260429097657
3, 95, 3.2599865206247394
3, 100, 3.437481865527508
4, 1, 1.0036426444133193
4, 2, 1.4879665717643618
4, 3, 2.4522915748413134
4, 4, 3.3388933782286654
4, 5, 2.849994962104773
4, 6, 2.887172882845485
4, 7, 3.126603306175819
4, 8, 2.8904623694384677
4, 9, 2.952912455838568
4, 10, 3.0188321822758035
4, 11, 3.576861913624263
4, 12, 3.499073986070073
4, 13, 3.43894072212958
4, 14, 3.6736346198774323
4, 15, 3.662971621818571
4, 16, 3.2840045892504914
4, 17, 3.512320879293287
4, 18, 3.516050494627994
4, 19, 3.659971179696176
4, 20, 3.8234379231373086
4, 25, 3.938235259772192
4, 30, 4.28745649621265
4, 35, 4.045922301372384
4, 40, 3.895000180112969
4, 45, 4.347062579128994
4, 50, 4.467718791287333
4, 55, 3.7532253686487245
4, 60, 3.8372891163933205
4, 65, 4.095845841606987
4, 70, 4.154052078210648
4, 75, 4.253081945404491
4, 80, 4.405666403338361
4, 85, 4.136672955040098
4, 90, 4.195411336050633
4, 95, 4.102896117197796
4, 100, 4.511222395641816
5, 1, 0.8839535957516271
5, 2, 1.6882904856912546
5, 3, 2.4951151337274173
5, 4, 3.0291538776198816
5, 5, 3.6761741575132016
5, 6, 2.4559521122869037
5, 7, 3.654147962893316
5, 8, 3.3326578649243235
5, 9, 4.840321718586575
5, 10, 3.782021789571983
5, 11, 3.9077883339833916
5, 12, 4.296914702610885
