-R 15 -W 5

SingleSearch
0, 0.2216288
1, 0.2218488
2, 0.2221637
3, 0.221529
4, 0.2246972
5, 0.2226134
6, 0.2233926
7, 0.2222955
8, 0.2286739
9, 0.2278922
10, 0.2262724
11, 0.2245299
12, 0.2230157
13, 0.2256629
14, 0.2240618

SingleSearch
0, 0.2217983
1, 0.2221925
2, 0.2221
3, 0.2232849
4, 0.2227859
5, 0.2224329
6, 0.2235044
7, 0.2239575
8, 0.223821
9, 0.2229275
10, 0.2225464
11, 0.2239969
12, 0.2276657
13, 0.2236018
14, 0.2275294

SingleSearch
0, 0.2226724
1, 0.2235403
2, 0.222778
3, 0.2231924
4, 0.2240542
5, 0.2242717
6, 0.2286495
7, 0.2257267
8, 0.2347324
9, 0.2366789
10, 0.2284123
11, 0.2264114
12, 0.2239133
13, 0.2257207
14, 0.222862
